program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk2 50000000 std 63.0450878333 37.6008730729 63.7549926897 27.480017059 29.7340168866 27.878279465 30.2961330346 19.5830024489 25.5102260384 28.6328851526 32.3248494495 40.848612485 52.839334164 51.3535363416 54.1272370719 66.5898455719 73.3676270459 38.4246444966 51.0903330657 44.086923218 46.061251434 48.0746565496 52.4347807585 44.0807912156 44.7259916996 32.4212420834 38.2053877457 44.1454882953 36.7210170584 45.196578934 37.3586461144 48.6821785446 47.3451767223 52.7422784418 51.9902372197 58.4935878003
cilk2 100000000 avg 20674.02935 10536.7171428571 7429.9186190476 5473.3542857143 4519.3693333333 3755.1329047619 3287.0052380952 2874.8902857143 2619.5005714286 2367.6967619048 2206.0564761905 2047.5443809524 1925.2393333333 1866.9884285714 1749.8833333333 1698.9953333333 1607.4316190476 1565.4172380952 1511.5397142857 1488.249 1457.7631428572 1399.2854761905 1390.291 1366.8957619048 1313.0730952381 1311.1449047619 1274.9912380952 1251.4649047619 1246.3919047619 1221.9062380952 1211.1096666667 1206.8928095238 1183.5843809524 1182.5797142857 1183.0115238095 1162.7333333333
cilk2 100000000 max 21030.45 10666.889 7705.052 5535.929 4596.212 3799.686 3348.537 2927.759 2702.29 2451.473 2302.47 2117.721 1983.218 2108.529 1903.036 1833.068 1791.427 1806.314 1708.504 1617.072 1583.28 1506.601 1528.72 1429.894 1391.887 1382.229 1413.185 1394.893 1319.054 1321.467 1299.202 1320.758 1279.767 1262.307 1292.227 1269.162
cilk2 100000000 min 20314.085 10410.319 7270.174 5406.423 4453.139 3698.433 3225.042 2822.964 2552.739 2315.331 2141.308 1938.084 1840.59 1717.563 1599.42 1566.43 1488.831 1379.634 1357.558 1394.893 1348.648 1298.612 1274.794 1272.971 1229.72 1249.284 1188.116 1192.023 1170.662 1169.484 1153.026 1146.882 1119.106 1123.194 1108.395 1099.969
cilk2 100000000 std 163.03966995 67.3737875181 123.6468450804 32.237166045 43.1716625987 25.1140574119 35.6223221519 29.2748966679 41.6404545707 38.3187453199 39.2943719553 42.2947082038 36.9477124452 83.9865801605 66.0572375083 81.3313745503 83.4611993327 119.702453583 90.3202931224 64.7715140282 68.3840173032 66.3116725597 79.0223367498 48.0392894409 49.3723431689 35.8282581225 52.3415587272 53.0318414369 50.1816412794 37.3548361647 34.6354104716 46.0901011971 38.5561111232 41.5656584095 47.1090287223 44.5419706292
openmp 10000000 avg 1731.0851 1008.5641904762 625.1254761905 491.2793333333 401.7281904762 364.6014761905 344.0683809524 306.373952381 288.410952381 301.1734285714 289.0865238095 279.2394761905 276.922047619 287.799047619 280.673952381 283.8356666667 285.4958095238 280.0297142857 290.3335238095 290.161952381 296.6191428571 301.7783809524 305.3915238095 315.1426666667 313.7235238095 327.622952381 348.1436190476 350.5276666667 364.0206190476 373.672 388.8758095238 403.9683809524 417.6292857143 436.3113333333 445.6471428571 485.4558571429
openmp 10000000 max 1742.114 1093.362 753.156 614.175 455.561 409.563 405.451 369.252 345.573 355.532 332.045 319.44 313.849 337.515 331.722 324.457 314.962 310.22 326.059 359.928 341.434 347.486 351.914 383.238 347.24 380.237 389.563 412.195 423.04 422.526 447.659 489.734 507.097 491.469 512.521 555.286
openmp 10000000 min 1714.501 952.223 543.423 431.083 355.218 322.857 303.326 279.21 265.707 253.625 254.631 250.195 248.232 246.51 216.195 255.588 250.275 250.897 256.356 249.036 247.805 235.3 251.985 282.325 282.658 269.682 310.002 314.28 309.301 312.289 333.054 344.381 368.012 382.851 401.31 411.843
openmp 10000000 std 8.2333798962 25.7633475981 50.8918582119 52.9172487468 26.4318225452 21.3763653847 21.777810116 23.770286844 16.4934703579 25.2619418208 19.2950543291 15.8146892022 17.5433972094 24.0904350178 25.7882370461 19.4575011097 19.8441644083 18.0543392018 22.2451644422 25.0849609258 26.425152844 25.9697237461 27.477206675 24.4525192063 16.5668505958 34.548483678 19.4692492626 30.5851378603 25.3886177498 27.5799356236 27.5974329796 33.2965599056 36.6810588262 27.4468321001 33.3080659155 32.0070353489
openmp 20000000 avg 3571.5906 1995.9562380952 1172.4319047619 854.8378571429 702.731047619 613.4070952381 580.5357619048 522.5040952381 480.690952381 506.609 491.8355714286 468.8350952381 455.2710952381 459.2987619048 444.5834761905 455.0252380952 440.3101428571 447.6352857143 450.3525714286 446.4705238095 454.4465714286 448.840047619 461.920047619 463.8446666667 473.7398571429 458.3524761905 482.6252857143 499.710952381 507.9281904762 519.7423333333 521.4974285714 540.5135238095 555.038952381 570.7448571429 578.486952381 595.0011428571
openmp 20000000 max 3604.977 2017.797 1463.958 1069.368 842.077 682.947 676.8 582.42 527.865 624.679 544.126 511.991 507.872 533.17 481.148 523.081 491.52 491.914 482.692 475.753 531.146 509.36 501.732 565.764 566.965 491.118 550.377 563.814 599.938 590.227 600.171 642.97 611.304 633.007 682.785 743.279
openmp 20000000 min 3525.223 1946.964 1037.179 708.756 606.73 517.638 524.292 471.313 443.972 443.387 457.455 408.249 412.121 420.742 401.648 400.441 402.538 400.521 410.25 381.221 364.419 378.999 408.086 396.619 424.484 428.531 390.595 453.734 448.27 477.714 463.729 463.942 507.138 493.603 510.01 534.925
openmp 20000000 std 19.2451813611 12.8856715033 112.1405866308 111.6505312452 53.6241301006 39.6862299707 42.5190377971 35.8018670783 22.7967984035 39.3337308236 24.6146069674 25.8051523923 25.0297488999 28.3671649287 24.0510623188 33.1690302887 26.6144094642 28.2010748557 23.6627251972 24.6572626656 34.1566851035 31.3494626198 24.8205859167 40.3961372687 37.8078629894 20.105772971 35.8939646405 30.0522264108 34.0448383454 34.1796632463 31.0838845973 40.8455984466 29.6284208278 30.3583427846 40.9721271323 45.2884066316
openmp 50000000 avg 9414.79705 5093.2295714286 2908.9199047619 2032.8004285714 1539.6970476191 1317.9618571429 1212.4536666667 1089.9605714286 1035.5233809524 1006.5111428572 956.208952381 935.2021904762 917.0692857143 928.6976190476 899.6675714286 908.5967619048 882.2975238095 879.2685238095 877.5418095238 882.1339047619 883.262952381 883.7261904762 891.3555238095 882.3832857143 884.3698095238 892.3716666667 878.3936666667 895.9494285714 896.1043809524 909.9131904762 921.0374285714 934.314047619 950.798047619 951.2434761905 960.1556190476 975.001
openmp 50000000 max 9476.52 5133.736 3293.856 2455.672 1788.565 1603.705 1462.8 1300.961 1184.715 1151.918 1016.717 1019.924 964 993.14 947.604 1023.528 931.966 937.05 1017.343 975.678 985.708 965.591 963.615 989.767 1008.623 972.846 948.842 974.136 1012.8 1021.831 1029.2 1009.983 1029.447 1026.267 1073.67 1079.239
openmp 50000000 min 9328.347 5043.908 2572.291 1832.789 1342.616 1192.897 1036.036 959.105 913.828 905.85 898.971 869.913 854.442 844.182 836.421 856.824 812.817 829.102 794.001 805.865 796.358 809.741 785.063 795.751 779.565 824.833 828.423 814.166 774.177 841.307 821.597 846.995 898.465 857.722 873.879 900.384
openmp 50000000 std 40.8830617512 25.5354266061 175.0617732253 188.8204828541 142.1936065544 92.4522824528 98.3745101087 80.6802296226 68.834767993 63.8610384345 35.8045911714 43.615838664 33.1628300649 40.3103136287 30.1900837686 41.7605342338 36.4589875622 31.4990227477 48.8150458666 42.8011763529 44.1851770931 39.367481495 50.7172712955 54.0473820376 53.5763110382 40.9089759299 28.2916702464 36.8392113116 56.9874781575 53.6769487477 54.1749865395 42.9659918104 40.1652763111 38.8910865683 53.3295493769 43.7670262252
