Program length stat 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36
cilk0 20000000 avg 3946.9317 2075.6110476191 1478.749 1115.0172857143 926.4664761905 786.1506190476 683.1020952381 602.9103333333 546.5090952381 510.0468095238 487.9440952381 458.8526666667 437.6033809524 416.5978095238 399.6705714286 386.5671904762 379.1827142857 371.9817619048 354.0816190476 371.3864285714 336.8736666667 342.1413333333 335.6907142857 344.5124285714 314.5243333333 329.6388095238 330.755047619 314.6493809524 317.8456190476 335.1517619048 302.5281904762 310.6730952381 331.9084285714 314.3418095238 299.0647619048 342.4872380952
cilk0 20000000 max 3996.361 2184.342 1537.98 1133.02 946.546 803.23 695.207 617.59 558.499 525.688 500.811 488.462 470.532 451.182 434.758 437.191 429.207 419.819 435.318 414.334 449.698 440.421 427.807 460.503 387.995 510.153 458.226 421.861 425.349 507.055 385.401 431.121 441.76 393.158 376.945 480.215
cilk0 20000000 min 3892.418 1987.028 1433.104 1086.057 905.897 771.16 668.079 587.415 521.042 493.683 453.834 420.945 398.399 374.257 363.902 356.806 341.857 318.667 306.8 306.274 298.773 293.296 274.968 266.794 276.237 277.925 268.668 270.757 266.197 267.814 261.184 260.932 262.903 251.82 260.712 266.613
cilk0 20000000 std 24.6372172153 37.7602225781 25.1346258078 12.5705694785 11.2262553936 10.539697403 7.8438940451 8.9387481021 10.3960539432 9.8007778447 10.0264404945 20.0000086808 22.2200861665 24.4977436219 19.9561471596 25.1891463643 27.5026058532 33.378052876 38.4377512681 30.9843445381 41.1820623504 39.5076609486 49.9663251832 54.1207130446 29.5412639139 60.5719684108 48.8118001107 42.0658898949 51.6308546089 62.0864131481 40.7372911417 43.7130070756 56.7712976702 46.4723375339 33.5143099629 70.6292813208
cilk0 50000000 avg 10250.54 5214.6746190476 3697.2988571429 2723.6254285714 2264.3820952381 1871.5470952381 1655.8490476191 1443.3795714286 1312.5980952381 1198.3184285714 1116.4570476191 1048.8777619048 994.0569047619 946.9243333333 898.3555714286 855.5536666667 860.3478571429 829.8643809524 752.0374285714 784.7483333333 736.5311428571 725.0917619048 671.0061428571 674.9446666667 673.5189047619 672.4134285714 663.9006666667 639.9925238095 649.7108095238 653.5208095238 632.1742380952 612.7461904762 639.3712380952 625.9566666667 595.5236190476 608.586952381
cilk0 50000000 max 10364.549 5278.428 3818.884 2757.431 2303.115 1906.725 1674.223 1466.005 1330.261 1230.065 1153.546 1077.183 1061.735 1032.827 988.652 956.309 937.389 931.402 908.522 940.458 870.26 867.63 784.021 811.964 818.802 788.999 774.561 745.503 737.156 802.184 700.038 753.952 755.9 742.697 678.582 740.856
cilk0 50000000 min 10106.121 5111.703 3586.225 2694.55 2208.538 1844.179 1636.203 1421.28 1287.652 1147.789 1073.311 1006.075 925.654 864.841 813.766 768.419 732.863 705.137 679.463 678.397 652.989 644.287 627.312 622.936 613.387 597.929 589.35 592.341 588.988 573.194 573.73 560.312 558.154 548.515 544.406 550.137
cilk0 50000000 std 58.9192737959 43.9939287828 65.3456657119 14.1275147587 27.2895609289 14.7151196458 11.8500037109 11.8254195764 12.2594392282 18.7555833142 22.0101789826 17.2036057584 41.3908866562 49.0798302058 54.0346322848 56.2655110821 60.8626874483 60.499471608 72.0711131387 74.9190314549 66.0755361002 64.7623797091 42.7094785994 48.7789582734 57.0544691211 60.7631000901 57.9052129608 47.9026469369 49.1925507517 63.4880540847 40.8069132071 52.6356617396 54.9989208657 62.5634899788 34.0528468949 58.6898761785
cilk0 100000000 avg 21054.3904 10647.6102380952 7533.0536190476 5501.1350476191 4551.7306190476 3747.9956666667 3282.8670952381 2870.3748571429 2591.7883333333 2353.7363333333 2188.239 2027.6096190476 1922.6986666667 1797.3720952381 1715.7435714286 1620.1314285714 1601.2753333333 1504.9945714286 1487.7783333333 1447.2558571429 1385.1070476191 1324.8825714286 1333.842 1303.9452380952 1267.610952381 1218.7536190476 1198.9044285714 1237.7687619048 1187.1398095238 1188.880952381 1169.0352857143 1180.9278095238 1176.8597619048 1145.0727619048 1129.692952381 1115.0621904762
cilk0 100000000 max 21343.115 10760.632 7746.994 5562.664 4636.216 3836.268 3314.071 2901.929 2652.192 2392.07 2216.372 2127.135 2023.862 1881.329 1904.132 1772.626 1754.876 1735.221 1635.884 1596.631 1562.511 1479.416 1475.721 1472.036 1389.319 1344.154 1343.474 1370.671 1343.596 1348.544 1386.304 1315.514 1300.89 1253.304 1319.221 1232.088
